breeder,enrichment,x_cm,y_cm,z_cm,flux,flux_std_dev
pbli,90,-39.0,-31.0,-14.5,0.00044356354336905045,3.6374963931987294e-06
pbli,90,-37.0,-31.0,-14.5,0.0004917648576470896,4.1676422016886715e-06
pbli,90,-35.0,-31.0,-14.5,0.0005386686257625163,3.6878363607631172e-06
pbli,90,-33.0,-31.0,-14.5,0.000582135195853589,3.926907385713267e-06
pbli,90,-31.0,-31.0,-14.5,0.0006015969551309156,4.003530865351451e-06
pbli,90,-29.0,-31.0,-14.5,0.0006259585245163966,4.250703630372577e-06
pbli,90,-27.0,-31.0,-14.5,0.0006407764558344889,4.42397701283649e-06
pbli,90,-25.0,-31.0,-14.5,0.0006635560296464099,4.532202141630799e-06
pbli,90,-23.0,-31.0,-14.5,0.0006791938129208954,4.672612419797612e-06
pbli,90,-21.0,-31.0,-14.5,0.0006943855845962262,4.252192530941586e-06
pbli,90,-19.0,-31.0,-14.5,0.0006985594078174318,4.5596409826574654e-06
pbli,90,-17.0,-31.0,-14.5,0.0007146806347815247,4.80188416471905e-06
pbli,90,-15.0,-31.0,-14.5,0.0007119153414411367,4.808131915856586e-06
pbli,90,-13.0,-31.0,-14.5,0.0007234352278388037,4.595921048112565e-06
pbli,90,-11.0,-31.0,-14.5,0.0007290510649100747,4.674713088132822e-06
pbli,90,-9.0,-31.0,-14.5,0.0007299402100162769,4.66830562549524e-06
pbli,90,-7.0,-31.0,-14.5,0.0007292227686114894,4.646075150563823e-06
pbli,90,-5.0,-31.0,-14.5,0.0007333970288598944,5.198121842677603e-06
pbli,90,-3.0,-31.0,-14.5,0.000735490555367411,4.741643134315888e-06
pbli,90,-1.0,-31.0,-14.5,0.0007375548097676745,4.997812585731938e-06
pbli,90,1.0,-31.0,-14.5,0.0007410040417651488,4.8142323435672085e-06
pbli,90,3.0,-31.0,-14.5,0.0007410148206314816,4.388423505497074e-06
pbli,90,5.0,-31.0,-14.5,0.0007326868919774718,5.071745543967715e-06
pbli,90,7.0,-31.0,-14.5,0.0007303819787151274,4.426543362503885e-06
pbli,90,9.0,-31.0,-14.5,0.0007336086206067158,4.569243902946432e-06
pbli,90,11.0,-31.0,-14.5,0.0007308637101280998,4.7247439108581995e-06
pbli,90,13.0,-31.0,-14.5,0.0007200950114332146,4.992696130143834e-06
pbli,90,15.0,-31.0,-14.5,0.0007187117978435221,4.711073855820202e-06
pbli,90,17.0,-31.0,-14.5,0.00070458993907118,5.0587326385236955e-06
pbli,90,19.0,-31.0,-14.5,0.0007025379939015759,3.987964368585804e-06
pbli,90,21.0,-31.0,-14.5,0.0006922263748646857,4.3398579354301345e-06
pbli,90,23.0,-31.0,-14.5,0.000674332940341725,4.7541053126227316e-06
pbli,90,25.0,-31.0,-14.5,0.0006649119191355931,4.164376990350218e-06
pbli,90,27.0,-31.0,-14.5,0.0006458962093421478,4.513468111868484e-06
pbli,90,29.0,-31.0,-14.5,0.0006274881479906107,4.066112121871163e-06
pbli,90,31.0,-31.0,-14.5,0.000609646158286116,4.337472853223501e-06
pbli,90,33.0,-31.0,-14.5,0.0005793910372653278,4.347370302481997e-06
pbli,90,35.0,-31.0,-14.5,0.0005444165724165634,4.101779678385052e-06
pbli,90,37.0,-31.0,-14.5,0.0004994383450165166,3.794358806098475e-06
pbli,90,39.0,-31.0,-14.5,0.00044080090229799043,3.487639783471633e-06
pbli,90,-39.0,-29.0,-14.5,0.0004561325214477156,3.370204701473614e-06
pbli,90,-37.0,-29.0,-14.5,0.0005183152015404915,3.92104449256775e-06
pbli,90,-35.0,-29.0,-14.5,0.00056556184475125,4.4627271292670366e-06
pbli,90,-33.0,-29.0,-14.5,0.0005937228512973649,4.243376983621109e-06
pbli,90,-31.0,-29.0,-14.5,0.0006282891761763891,4.798751272221314e-06
pbli,90,-29.0,-29.0,-14.5,0.0006580675333050843,4.214936023074714e-06
pbli,90,-27.0,-29.0,-14.5,0.0006677646840922989,4.303569976677411e-06
pbli,90,-25.0,-29.0,-14.5,0.0006921322128988078,3.7719668777347868e-06
pbli,90,-23.0,-29.0,-14.5,0.0007065529259445956,4.800340510595754e-06
pbli,90,-21.0,-29.0,-14.5,0.0007160788487143678,4.639498176137527e-06
